model,variable,coefficient,std_error,t_stat,p_value,r_squared,n_obs
baseline,const,5318.753426558988,354.9779951190574,14.983332769049843,9.436392246161607e-51,0.008220952545838878,18206
baseline,uncertainty_score_pct,26.26198711809307,20.928333853922094,1.254853219630354,0.20953204873693987,0.008220952545838878,18206
full_controls,const,11036.15815061134,1059.3232734371645,10.418121103676448,2.0496218956885185e-25,0.25473758063933183,10629
full_controls,uncertainty_score_pct,49.05718485747855,16.731580412742186,2.9320114207572594,0.003367743619841238,0.25473758063933183,10629
full_controls,pre_call_vol,5329.889889688646,370.23612975137684,14.395920498811948,5.488918545922383e-47,0.25473758063933183,10629
full_controls,log_market_cap,-367.1515472568794,39.65322897475392,-9.259058007372722,2.0624366987253273e-20,0.25473758063933183,10629
full_controls,earnings_surprise,7.8798609211545845,30.17404632898659,0.261146974961221,0.793979167362918,0.25473758063933183,10629
share_measure,const,11041.524665389634,1059.3093830392547,10.423323763743598,1.9405072266473794e-25,0.25472280504821654,10629
share_measure,uncertainty_share_pct,48.74841383305607,16.69607926930306,2.919752179344496,0.0035030983781644993,0.25472280504821654,10629
share_measure,pre_call_vol,5329.688230070772,370.22204751814877,14.395923381114962,5.488689708135428e-47,0.25472280504821654,10629
share_measure,log_market_cap,-367.22000611900677,39.650778422131744,-9.261356793793405,2.0185070282127082e-20,0.25472280504821654,10629
share_measure,earnings_surprise,7.8703113926448145,30.174119286271242,0.26082986277003567,0.7942237141851948,0.25472280504821654,10629
abnormal_vol,const,-422.95240160708704,319.7466803068382,-1.322773394241997,0.1859107475662063,0.020272273124194884,17079
abnormal_vol,uncertainty_score_pct,47.82102860716572,12.714927481392508,3.7610146559741513,0.0001692255132488442,0.020272273124194884,17079
