coefficient,std_error,t_stat,p_value,r_squared,n_obs,test,dep_var,key_var
49.057184857478546,16.731580412742176,2.932011420757261,0.0033677436198412177,0.2547375806393317,10629,alt_windows,"Vol [+1,+5]",Model Uncertainty
61.03404492896252,22.637968071487826,2.6960920139221316,0.007015828359816465,0.17021398989498127,10629,alt_windows,"Vol [+1,+3]",Model Uncertainty
27.534887663433167,13.976313256291592,1.9701109411695559,0.0488256572510694,0.3143883817751172,10629,alt_windows,"Vol [+1,+10]",Model Uncertainty
48.22837167080772,15.974417144222267,3.019100555305786,0.0025352636856549367,0.1157392101554966,10629,alt_windows,Abnormal Vol,Model Uncertainty
445.41476159402265,268.9523419344246,1.656110366581685,0.09769947037828748,0.25379729306944,10629,lexicon_only,"Vol [+1,+5]",Lexicon Uncertainty
89.9096701908029,21.69076256468659,4.145067280261477,3.397139505027043e-05,0.24160865522953578,2422,section_split,"Vol [+1,+5]",Prepared Remarks
15.839527677568597,15.256510690229513,1.0382143072670251,0.29917029319819566,0.258029751300778,10156,section_split,"Vol [+1,+5]",Q&A Section
44.61895652968829,16.924777033314356,2.6363098575456165,0.008381315810976765,0.2796786971029219,6423,size_split,"Vol [+1,+5]",Large Firms
49.460277580601336,27.890551628482005,1.7733703599498618,0.07616735711542214,0.13645692058757053,4206,size_split,"Vol [+1,+5]",Small Firms
48.66123662882697,38.155280817944394,1.2753473591509157,0.20218632196432196,0.27643004604599464,1906,sector_split,"Vol [+1,+5]",Industrials
19.29512585437149,42.83841946941435,0.4504163807478418,0.6524102357377903,0.18407434690268654,2180,sector_split,"Vol [+1,+5]",Information Technology
-22.363798695270972,45.52261045474649,-0.49126793195444207,0.6232369577119121,0.18608885030361044,1489,sector_split,"Vol [+1,+5]",Consumer Discretionary
64.72043142293904,38.917469049003316,1.6630174830086117,0.09630893592721823,0.3600374352662373,1200,sector_split,"Vol [+1,+5]",Financials
112.25583996608707,58.14030376764373,1.9307749132979202,0.05351089401213261,0.25099060722888455,1169,sector_split,"Vol [+1,+5]",Health Care
